,SA2 Name,SA3,median_income,median_rent,median_mortgage_repayment,qualyfing_income(mortgage),affordability_index(mortgage),qualyfing_income(rent),affordability_index(rent)
56,Balga - Mirrabooka,,1285.845588,337.7413127,390.861688,1302.872293,98.6931409,1125.804376,114.2157213
57,Dianella,,1967.938312,361.0521236,477.3972603,1591.324201,123.6667117,1203.507079,163.5169703
58,Innaloo - Doubleview,,2396.044625,411.8473896,526.4970646,1754.990215,136.5275204,1372.824632,174.5339185
59,Karrinyup - Gwelup - Carine,,2552.801724,459.8837209,563.6469796,1878.823265,135.8723714,1532.945736,166.5291643
60,Nollamara - Westminster,,1602.618243,364.7900763,436.2866175,1454.288725,110.1994546,1215.966921,131.7978487
61,Scarborough,,2414.078675,413.8605442,501.585448,1671.951493,144.3868847,1379.535147,174.9921834
62,Stirling - Osborne Park,Stirling,2153.645833,335.2272727,488.6087576,1628.695859,132.2313078,1117.424242,192.7330508
63,Trigg - North Beach - Watermans Bay,,2505.357143,401.5625,629.0410959,2096.803653,119.484585,1338.541667,187.1706504
64,Tuart Hill - Joondanna,,2000,345.78125,449.4555673,1498.185224,133.4948421,1152.604167,173.5201085
65,Wembley Downs - Churchlands - Woodlands,,2641.638225,424.6710526,625.8777009,2086.259003,126.6208185,1415.570175,186.6130179
66,Yokine - Coolbinia - Menora,,2149.061033,351.2820513,481.3017175,1604.339058,133.9530457,1170.940171,183.5329495
67,Alexander Heights - Koondoola,Wanneroo,1589.375,354.4172932,404.625029,1348.750097,117.8405847,1181.390977,134.5342084
68,Butler - Merriwa - Ridgewood,,1669.599515,362.1757075,461.106229,1537.020763,108.6256968,1207.252358,138.2974738
69,Carramar,,2063.458856,401.6216216,487.205774,1624.019247,127.0587686,1338.738739,154.1345445
70,Clarkson,,1822.136564,378.5175879,453.8379382,1512.793127,120.4484956,1261.725293,144.4162667
71,Girrawheen,,1273.809524,321.6216216,369.0314263,1230.104754,103.5529307,1072.072072,118.817527
72,Madeley - Darch - Landsdale,,2260.4913,473.2346241,513.8995434,1712.998478,131.9610805,1577.448747,143.3004593
73,Marangaroo,,1627.840909,373.5526316,420.6080855,1402.026952,116.1062494,1245.175439,130.7318518
74,Mindarie - Quinns Rocks - Jindalee,,2283.30721,417.9447853,531.5896782,1771.965594,128.8573106,1393.149284,163.8953726
75,Tapping - Ashby - Sinagra,,2181.988743,456.514658,508.8823454,1696.274485,128.6341782,1521.715527,143.3900558
76,Wanneroo,,2003.791469,401.8488746,481.0137453,1603.379151,124.9730276,1339.496249,149.5929138
77,Alkimos - Eglinton,,2130.120482,365.5448718,523.7917808,1745.972603,122.001942,1218.482906,174.8174284
78,Two Rocks,,1581.395349,336.9047619,478.833407,1596.111357,99.0780087,1123.015873,140.8168296
79,Yanchep,,1769.425676,360.2355072,481.4684065,1604.894688,110.2518245,1200.785024,147.3557415
80,Armadale - Wungong - Brookdale,Armadale,1325.061275,305.8064516,359.6356905,1198.785635,110.5336297,1019.354839,129.9901883
81,Camillo - Champion Lakes,,1465.740741,313.452381,367.1731009,1223.910336,119.7588334,1044.84127,140.2835802
82,Forrestdale - Harrisdale - Piara Waters,,2298.806941,425.7142857,533.2955691,1777.651897,129.3170471,1419.047619,161.9964623
83,Kelmscott,,1522.905759,316.8502203,387.260274,1290.86758,117.9753666,1056.167401,144.1917027
84,Mount Nasura - Mount Richon - Bedfordale,,1996.031746,360.4166667,479.0910556,1596.970185,124.9886669,1201.388889,166.1436829
85,Roleystone,,2149.038462,366.6666667,489.0410959,1630.136986,131.8317712,1222.222222,175.8304196
86,Seville Grove,,1679.577465,351.6472868,413.5819198,1378.606399,121.8315442,1172.157623,143.2893864
87,Belmont - Ascot - Redcliffe,Belmont - Victoria Park,1951.502732,366.1509901,468.8049126,1562.683042,124.8815454,1220.5033,159.8932778
88,East Victoria Park - Carlisle,,2103.488372,371.4143426,485.1922532,1617.307511,130.0611268,1238.047809,169.9036465
89,Rivervale - Kewdale - Cloverdale,,1748.525074,362.3235887,456.240644,1520.802147,114.9738694,1207.745296,144.7759788
90,Victoria Park - Lathlain - Burswood,,2185.698448,372.8670635,487.5240237,1625.080079,134.4978919,1242.890212,175.8561156
91,Bentley - Wilson - St James,Canning,1725.478469,342.1328671,468.1849315,1560.616438,110.5639045,1140.44289,151.2989807
92,Canning Vale - West,,2341.791045,489.6103896,488.151391,1627.171303,143.9179169,1632.034632,143.4890534
93,Cannington - Queens Park,,1621.929825,371.1666667,447.2609912,1490.869971,108.7908306,1237.222222,131.0944627
94,Parkwood - Ferndale - Lynwood,,1732.876712,358.7078652,413.7379853,1379.126618,125.6502985,1195.692884,144.9265723
95,Riverton - Shelley - Rossmoyne,,2123.72449,408.6879433,503.3696885,1677.898962,126.5704633,1362.293144,155.8933552
96,Willetton,,2077.29682,418.7150838,478.173516,1593.91172,130.3269682,1395.716946,148.8336747
97,Beckenham - Kenwick - Langford,Gosnells,1472.54522,343.221831,397.2530164,1324.176721,111.2045844,1144.07277,128.7108004
98,Canning Vale - East,,2210.280374,446.851145,488.2780101,1627.593367,135.8005272,1489.503817,148.39038
99,Gosnells,,1429.046563,317.4191375,384.1175303,1280.391768,111.6101024,1058.063792,135.0624201
100,Huntingdale - Southern River,,2064.323607,409.5714286,482.7678546,1609.226182,128.2805134,1365.238095,151.206124
101,Maddington - Orange Grove - Martin,,1480.805243,318.8583815,395.4618897,1318.206299,112.3348633,1062.861272,139.3225328
102,Thornlie,,1677.699229,361.8055556,410.9230712,1369.743571,122.4827234,1206.018519,139.1105695
103,Forrestfield - Wattle Grove,Kalamunda,1940.58642,379.6875,467.5227808,1558.409269,124.5235419,1265.625,153.330285
104,High Wycombe,,1867.370892,396.875,452.446184,1508.153947,123.8183208,1322.916667,141.155595
105,Kalamunda - Maida Vale - Gooseberry Hill,,2064.393939,391.5441176,494.3342466,1647.780822,125.2832848,1305.147059,158.1732821
106,Lesmurdie - Bickley - Carmel,,2087.227414,368.0232558,483.5491905,1611.830635,129.4942141,1226.744186,170.1436565
107,Byford,Serpentine - Jarrahdale,2000,400,481.4805058,1604.935019,124.6156371,1333.333333,150
108,Mundijong,,2145.939086,371.1956522,517.8082192,1726.027397,124.3282169,1237.318841,173.4346084
109,Serpentine - Jarrahdale,,1860.655738,314.1666667,483.2876712,1610.958904,115.4998885,1047.222222,177.675349
110,Como,South Perth,2299.350649,374.4402985,498.0648882,1660.216294,138.4970535,1248.134328,184.2230117
111,Manning - Waterford,,2405.03876,359.1145833,597.5625886,1991.875295,120.7424363,1197.048611,200.9140429
112,South Perth - Kensington,,2757.886435,398.1854839,569.159681,1897.198937,145.3662229,1327.284946,207.7840514
113,Banjup,Cockburn,2366.296296,444.5238095,501.369863,1671.232877,141.5898604,1481.746032,159.6964828
114,Coogee,,2253.759398,423.7980769,519.1232877,1730.410959,130.2441704,1412.660256,159.5400867
115,Coolbellup,,1796.626984,325,438.9442031,1463.147344,122.7919383,1083.333333,165.8424908
116,Hamilton Hill,,1589.583333,330.377907,437.260274,1457.534247,109.0597588,1101.25969,144.3422789
117,North Coogee,,3067.708333,533.8235294,706.2328767,2354.109589,130.312894,1779.411765,172.4001377
118,South Lake - Cockburn Central,,1893.518519,381.4130435,419.3988959,1397.99632,135.4451719,1271.376812,148.9344859
119,Spearwood,,1653.409091,359.414557,463.5213043,1545.071014,107.0118509,1198.048523,138.0085246
120,Success - Hammond Park,,2253.75,423.5294118,505.4861707,1684.953902,133.7573685,1411.764706,159.640625
121,Yangebup,,2021.929825,363.2246377,461.0834997,1536.944999,131.5551191,1210.748792,166.9982937
122,Beeliar - Wattleup,,2197.452229,405.8641975,500.1411374,1667.137125,131.8099271,1352.880658,162.4276477
123,East Fremantle,Fremantle,2859.615385,418.4895833,591.7808219,1972.60274,144.9666132,1394.965278,204.9954526
124,Fremantle,,2426.04712,379.9295775,514.3561644,1714.520548,141.5000318,1266.431925,191.5655372
125,Fremantle - South,,2020.547945,357.8125,489.9360731,1633.120244,123.7231584,1192.708333,169.4083867
126,Bertram - Wellard (West),Kwinana,1988.505747,372.9803493,471.9961268,1573.320423,126.3891143,1243.267831,159.9418643
127,Calista,,1354.166667,303.2303371,348.3561644,1161.187215,116.6191506,1010.76779,133.9740621
128,Parmelia - Orelia,,1373.125,294.4047619,348.4483188,1161.494396,118.2205446,981.3492063,139.9221593
129,Casuarina - Wandi,,2224.654378,406.6176471,525.3557225,1751.185742,127.0370313,1355.392157,164.1336322
130,Applecross - Ardross,Melville,2755.291005,489.3665158,691.0230254,2303.410085,119.6179101,1631.221719,168.9096566
131,Bateman,,2414.285714,455.6818182,513.5688536,1711.896179,141.0299143,1518.939394,158.9454934
132,Bicton - Palmyra,,2290.983607,375.4120879,500.9493469,1669.831156,137.1985184,1251.373626,183.0775045
133,Booragoon,,2506.363636,419.8717949,583.0136986,1943.378995,128.9693694,1399.57265,179.0806384
134,Bull Creek,,2138.636364,432.3529412,488.2191781,1627.39726,131.414524,1441.176471,148.3951763
135,Leeming,,2427.374302,472,488.2636061,1627.545354,149.1432664,1573.333333,154.2822649
136,Melville,,2511.904762,419.3097015,565.4102379,1884.700793,133.2787024,1397.699005,179.717146
137,Murdoch - Kardinya,,2015.625,423.4536082,475.2409235,1584.136412,127.2380955,1411.512027,142.7989957
138,Willagee,,1908.928571,278.125,488.970066,1629.90022,117.1193517,927.0833333,205.9069021
139,Winthrop,,2451.183432,575,516.1643836,1720.547945,142.4652791,1916.666667,127.8878312
140,Baldivis,Rockingham,2116.777531,390.625,490.8074076,1636.024692,129.3854269,1302.083333,162.5685144
141,Cooloongup,,1362.99435,315.4191617,351.3620103,1171.206701,116.3752179,1051.397206,129.6364821
142,Port Kennedy,,1942.401961,373.286802,434.0932512,1446.977504,134.2385735,1244.28934,156.1053284
143,Rockingham,,1469.791667,305.3135889,394.7152127,1315.717376,111.7102878,1017.711963,144.421184
144,Safety Bay - Shoalwater,,1669.254658,314.1061453,425.8517738,1419.505913,117.5940617,1047.020484,159.4290354
145,Singleton - Golden Bay - Secret Harbour,,2219.62963,391.1585366,491.6956892,1638.985631,135.4270341,1303.861789,170.2350394
146,Waikiki,,1776.376147,350.2906977,413.2459797,1377.486599,128.9577806,1167.635659,152.1344551
147,Warnbro,,1615.327381,339.3203883,394.1600577,1313.866859,122.9445259,1131.067961,142.8143521
