,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
61,Sorrento - Marmion,9375,9625,6254,6464,250,210,3121,3161,40,0.332906667,0.328415584,0.012816405
62,Woodvale,9046,9276,5566,5510,230,-56,3480,3766,286,0.38470042,0.405993963,0.082183908
63,Balcatta - Hamersley,14780,15364,8942,8924,584,-18,5838,6440,602,0.394993234,0.419161677,0.103117506
64,Balga - Mirrabooka,17911,20050,8357,8445,2139,88,9554,11605,2051,0.53341522,0.578802993,0.214674482
65,Dianella,22827,24130,12708,12978,1303,270,10119,11152,1033,0.44329084,0.462163282,0.102085186
67,Innaloo - Doubleview,15021,16559,9483,9892,1538,409,5538,6667,1129,0.368683843,0.402620931,0.203864211
68,Karrinyup - Gwelup - Carine,18753,20304,12653,13736,1551,1083,6100,6568,468,0.325281288,0.323483058,0.076721311
69,Nollamara - Westminster,15004,17770,7229,7460,2766,231,7775,10310,2535,0.518195148,0.580191334,0.326045016
71,Scarborough,14634,15421,8238,9051,787,813,6396,6370,-26,0.437064371,0.413073082,-0.004065041
72,Stirling - Osborne Park,13239,13748,7187,7196,509,9,6052,6552,500,0.457134225,0.476578411,0.082617317
73,Trigg - North Beach - Watermans Bay,6803,7524,4783,5338,721,555,2020,2186,166,0.296927826,0.290536948,0.082178218
74,Tuart Hill - Joondanna,11207,11895,5754,6068,688,314,5453,5827,374,0.486570893,0.489869693,0.068586099
75,Wembley Downs - Churchlands - Woodlands,12496,13952,7960,8762,1456,802,4536,5190,654,0.362996159,0.371989679,0.144179894
76,Yokine - Coolbinia - Menora,14721,15714,8538,8887,993,349,6183,6827,644,0.420012227,0.434453354,0.104156558
77,Alexander Heights - Koondoola,11480,11975,6441,6327,495,-114,5039,5648,609,0.438937282,0.471649269,0.120857313
78,Butler - Merriwa - Ridgewood,18825,23439,9762,11862,4614,2100,9063,11577,2514,0.481434263,0.493920389,0.277391592
79,Carramar,11196,16616,5765,8373,5420,2608,5431,8243,2812,0.485083959,0.496088108,0.517768367
80,Clarkson,11541,12971,5914,6405,1430,491,5627,6566,939,0.487566069,0.506206152,0.166874
81,Girrawheen,8270,8759,4394,4471,489,77,3876,4288,412,0.468681983,0.489553602,0.10629515
82,Madeley - Darch - Landsdale,18857,25406,11470,14619,6549,3149,7387,10787,3400,0.391737816,0.424584744,0.460268038
83,Marangaroo,10386,10592,5926,5832,206,-94,4460,4760,300,0.429424225,0.44939577,0.067264574
84,Mindarie - Quinns Rocks - Jindalee,17234,18775,8410,8715,1541,305,8824,10060,1236,0.512011141,0.535818908,0.140072529
86,Tapping - Ashby - Sinagra,12363,13260,6327,6839,897,512,6036,6421,385,0.488231012,0.484238311,0.063783963
87,Wanneroo,22585,25622,13490,14997,3037,1507,9095,10625,1530,0.402700908,0.414682695,0.168224299
88,Armadale - Wungong - Brookdale,15927,19045,10341,11592,3118,1251,5586,7453,1867,0.350725184,0.391336309,0.334228428
90,Camillo - Champion Lakes,5159,5532,3369,3420,373,51,1790,2112,322,0.346966466,0.381778742,0.179888268
91,Forrestdale - Harrisdale - Piara Waters,7403,19259,4216,9595,11856,5379,3187,9664,6477,0.430501148,0.50179137,2.032318795
92,Kelmscott,9828,10480,6152,6260,652,108,3676,4220,544,0.374033374,0.402671756,0.147986942
93,Mount Nasura - Mount Richon - Bedfordale,7370,7954,4420,4896,584,476,2950,3058,108,0.40027137,0.384460649,0.036610169
94,Roleystone,6589,7033,4281,4619,444,338,2308,2414,106,0.350280771,0.343239016,0.04592721
95,Seville Grove,9076,10270,6224,6334,1194,110,2852,3936,1084,0.314235346,0.383252191,0.380084151
96,Belmont - Ascot - Redcliffe,13752,14321,7630,7518,569,-112,6122,6803,681,0.445171611,0.475036659,0.111238157
97,East Victoria Park - Carlisle,14956,16551,8150,8722,1595,572,6806,7829,1023,0.4550682,0.473022778,0.150308551
100,Rivervale - Kewdale - Cloverdale,21936,25321,11841,11942,3385,101,10095,13379,3284,0.460202407,0.528375657,0.325309559
101,Victoria Park - Lathlain - Burswood,14253,14480,6620,7126,227,506,7633,7354,-279,0.535536378,0.507872928,-0.036551814
102,Bentley - Wilson - St James,19890,20062,8323,8367,172,44,11567,11695,128,0.581548517,0.582942877,0.011065964
103,Canning Vale - West,10001,9993,5320,5049,-8,-271,4681,4944,263,0.468053195,0.494746322,0.056184576
105,Cannington - Queens Park,14920,18048,6175,6441,3128,266,8745,11607,2862,0.586126005,0.643118351,0.327272727
106,Parkwood - Ferndale - Lynwood,13394,13803,7349,7017,409,-332,6045,6786,741,0.451321487,0.491632254,0.122580645
107,Riverton - Shelley - Rossmoyne,13045,13486,6727,6543,441,-184,6318,6943,625,0.484323496,0.514830194,0.09892371
109,Willetton,17264,18187,9038,8555,923,-483,8226,9632,1406,0.476482854,0.529609061,0.170921469
110,Beckenham - Kenwick - Langford,17522,18873,9138,8845,1351,-293,8384,10028,1644,0.478484191,0.531341069,0.196087786
111,Canning Vale - East,20421,23065,9328,10489,2644,1161,11093,12576,1483,0.543215318,0.545241708,0.133687911
112,Gosnells,18967,20285,11539,11419,1318,-120,7428,8866,1438,0.391627564,0.437071728,0.193591815
113,Huntingdale - Southern River,14364,19038,8891,10256,4674,1365,5473,8782,3309,0.381021999,0.46128795,0.604604422
114,Maddington - Orange Grove - Martin,11708,13650,6856,7001,1942,145,4852,6649,1797,0.414417492,0.487106227,0.370362737
115,Thornlie,22729,23153,13041,12429,424,-612,9688,10724,1036,0.426239606,0.463179718,0.106936416
116,Forrestfield - Wattle Grove,15845,18661,10496,11485,2816,989,5349,7176,1827,0.337582834,0.384545308,0.34155917
117,High Wycombe,11530,12308,8177,8322,778,145,3353,3986,633,0.290806592,0.323854404,0.188786162
118,Kalamunda - Maida Vale - Gooseberry Hill,14267,14889,9138,9583,622,445,5129,5306,177,0.359500946,0.356370475,0.034509651
119,Lesmurdie - Bickley - Carmel,11109,11586,7478,7872,477,394,3631,3714,83,0.326852102,0.320559296,0.022858717
120,Byford,7971,16112,5713,10725,8141,5012,2258,5387,3129,0.283276879,0.334347071,1.385739593
121,Mundijong,5523,6351,4104,4644,828,540,1419,1707,288,0.256925584,0.268776571,0.202959831
122,Serpentine - Jarrahdale,3858,4416,2609,2988,558,379,1249,1428,179,0.323742872,0.323369565,0.143314652
123,Como,13558,14014,7935,8018,456,83,5623,5996,373,0.414736687,0.427857856,0.066334697
124,Manning - Waterford,11046,11457,6186,6456,411,270,4860,5001,141,0.439978273,0.436501702,0.029012346
