,SA2 Name,Unoccupied Rate,Median Income,Median Rent,Median Mortgage,Purchasing Affordability Index,Rental Affordability Index,Building Approval,Unemplotment Rate
44,Greenwood - Warwick,0.06871345,1955.97166,410.2739726,474.8702095,123.5688165,143.024305,25,0.069402879
3,Halls Head - Erskine,0.198819993,1627.840909,360.3744939,454.7945205,107.3786624,135.5124408,195,0.095284993
116,Hamilton Hill,0.116577751,1589.583333,330.377907,437.260274,109.0597588,144.3422789,143,0.097153096
35,Hazelmere - Guildford,0.076794658,2057.926829,395.8333333,471.4321295,130.9579916,155.9691913,13,0.069851284
45,Heathridge - Connolly,0.084407972,2081.117021,395.1030928,465.8798736,134.0120365,158.0182787,20,0.071113374
28,Helena Valley - Koongamia,0.089720469,2057.591623,341.6666667,473.7647615,130.2919797,180.6665815,67,0.071253929
104,High Wycombe,0.066357402,1867.370892,396.875,452.446184,123.8183208,141.155595,25,0.079524398
46,Hillarys,0.088776004,2607.692308,514.453125,558.9994044,139.9478579,152.065884,47,0.064805415
100,Huntingdale - Southern River,0.069682708,2064.323607,409.5714286,482.7678546,128.2805134,151.206124,179,0.080581372
47,Iluka - Burns Beach,0.057618882,3047.393365,658.3333333,660.9534247,138.3180683,138.8685584,75,0.062243902
58,Innaloo - Doubleview,0.105276165,2396.044625,411.8473896,526.4970646,136.5275204,174.5339185,265,0.06120708
48,Joondalup - Edgewater,0.102506091,2037.337662,394.8648649,456.6846802,133.8344213,154.787461,21,0.090779775
105,Kalamunda - Maida Vale - Gooseberry Hill,0.078570279,2064.393939,391.5441176,494.3342466,125.2832848,158.1732821,66,0.064132052
59,Karrinyup - Gwelup - Carine,0.072909957,2552.801724,459.8837209,563.6469796,135.8723714,166.5291643,146,0.05262134
83,Kelmscott,0.088864629,1522.905759,316.8502203,387.260274,117.9753666,144.1917027,29,0.099739635
49,Kingsley,0.059276823,2224.456522,432.2580645,468.8161752,142.345122,154.3839228,33,0.061500073
135,Leeming,0.060054822,2427.374302,472,488.2636061,149.1432664,154.2822649,16,0.061551155
106,Lesmurdie - Bickley - Carmel,0.067756456,2087.227414,368.0232558,483.5491905,129.4942141,170.1436565,28,0.06092739
36,Lockridge - Kiara,0.088768543,1832.055215,338.7019231,461.4959389,119.0945614,162.2714626,184,0.081937363
101,Maddington - Orange Grove - Martin,0.082871908,1480.805243,318.8583815,395.4618897,112.3348633,139.3225328,316,0.117415288
72,Madeley - Darch - Landsdale,0.052892562,2260.4913,473.2346241,513.8995434,131.9610805,143.3004593,343,0.065986542
4,Mandurah,0.284391957,1189.174107,290.3538813,355.8462218,100.2546073,122.8680776,111,0.140814675
5,Mandurah - East,0.244487057,1476.485149,340.3571429,454.322154,97.49591576,130.1413982,66,0.102803738
6,Mandurah - North,0.123564024,1882.899628,371.5460526,469.5901392,120.2899808,152.0322675,333,0.095282797
7,Mandurah - South,0.173435996,1272.465438,303.422619,389.2316855,98.07516847,125.8111978,123,0.122386537
111,Manning - Waterford,0.095260332,2405.03876,359.1145833,597.5625886,120.7424363,200.9140429,49,0.090774635
73,Marangaroo,0.057377049,1627.840909,373.5526316,420.6080855,116.1062494,130.7318518,7,0.09544592
24,Maylands,0.17095987,2134.393064,317.9225352,463.049494,138.2828245,201.4068989,117,0.076581286
136,Melville,0.090253239,2511.904762,419.3097015,565.4102379,133.2787024,179.717146,70,0.051634066
37,Middle Swan - Herne Hill,0.099785867,1639.423077,356.25,408.9560699,120.2639988,138.0566802,40,0.096520763
38,Midland - Guildford,0.134685288,1601.30719,328.4156977,405.1141553,118.5819233,146.2756379,206,0.108236224
74,Mindarie - Quinns Rocks - Jindalee,0.099511073,2283.30721,417.9447853,531.5896782,128.8573106,163.8953726,171,0.085597826
25,Morley,0.09767141,1664.78979,390.776699,450.4510525,110.8748518,127.8062224,150,0.087417573
13,Mosman Park - Peppermint Grove,0.119974337,3262.195122,343.452381,715.6517897,136.7506587,284.9473729,40,0.05805429
16,Mount Hawthorn - Leederville,0.10443038,2921.455939,452.8,579.2979452,151.2929208,193.5593599,105,0.056486357
17,Mount Lawley - Inglewood,0.104265403,2591.331269,366.6666667,505.1311818,153.9004933,212.0180129,41,0.059843519
84,Mount Nasura - Mount Richon - Bedfordale,0.077216397,1996.031746,360.4166667,479.0910556,124.9886669,166.1436829,44,0.068114511
50,Mullaloo - Kallaroo,0.078540079,2305.486284,464.3884892,514.2676502,134.4914239,148.9369141,33,0.061075196
29,Mundaring,0.072774659,2066.853933,402.0833333,477.8670893,129.7549452,154.2108634,48,0.063572304
108,Mundijong,0.068264014,2145.939086,371.1956522,517.8082192,124.3282169,173.4346084,135,0.067930029
137,Murdoch - Kardinya,0.079677152,2015.625,423.4536082,475.2409235,127.2380955,142.7989957,25,0.086928731
14,Nedlands - Dalkeith - Crawley,0.114974762,3561.349693,484.9673203,863.3213684,123.7551794,220.3045161,61,0.089128193
60,Nollamara - Westminster,0.115667718,1602.618243,364.7900763,436.2866175,110.1994546,131.7978487,315,0.096546641
26,Noranda,0.077238335,1846.804511,387.0967742,454.0273973,122.0281764,143.1273496,19,0.075531655
117,North Coogee,0.136284722,3067.708333,533.8235294,706.2328767,130.312894,172.4001377,129,0.051920341
18,North Perth,0.133462282,2747.26776,430.1470588,578.2191781,142.5377018,191.6043155,110,0.056791104
51,Ocean Reef,0.073391304,2489.215686,533.8383838,545.2476291,136.9588176,139.8859146,15,0.068965517
52,Padbury,0.08452764,2056.990881,405.3899083,470.1786024,131.2474156,152.2231442,21,0.066681485
94,Parkwood - Ferndale - Lynwood,0.087641973,1732.876712,358.7078652,413.7379853,125.6502985,144.9265723,27,0.091072664
