,SA2 Name,unoccupied_rate
152,Willagee,0.10135746606334842
153,Winthrop,0.07975460122699386
154,Baldivis,0.07516366951189193
155,Cooloongup,0.09192276312211041
156,Port Kennedy,0.08145722472370037
157,Rockingham,0.16080526904436435
158,Rockingham Lakes,0.0
159,Safety Bay - Shoalwater,0.1658308836244164
160,Singleton - Golden Bay - Secret Harbour,0.11794726396370854
161,Waikiki,0.10303514376996806
162,Warnbro,0.09647112740604949
