,Unnamed: 0,SA2 Name,median_income of suburb,median_rent,median_mortgage_repayment,unemployment_rate,unoccupied_rate,yearly building_approval,Greater Perth median income,qualyfing_income(mortgage),affordability_index(mortgage),qualyfing_income(rent),affordability_index(rent)
0,0,Dawesville - Bouvard,1584.6774193548388,358.95522388059715,467.8422359106372,0.10625202461937157,0.26353591160221,136.0,2333.1674805026496,1559.4741197021244,149.612452750951,1196.5174129353236,194.996533713527
1,1,Falcon - Wannanup,1486.9186046511627,342.46031746031747,443.0904109589042,0.10427394438722966,0.3145567169957414,105.0,2333.1674805026496,1476.9680365296808,157.97007266214882,1141.5343915343915,204.3887155573584
2,2,Greenfields,1192.9347826086955,306.1197916666667,359.5535261288686,0.12906583398386678,0.11869240895129445,20.0,2333.1674805026496,1198.5117537628955,194.67205667173005,1020.3993055555555,228.65239791910267
3,3,Halls Head - Erskine,1627.840909090909,360.37449392712546,454.79452054794524,0.09528499322910257,0.1988199933207169,195.0,2333.1674805026496,1515.9817351598176,153.90472235845792,1201.2483130904182,194.22857498131881
4,4,Mandurah,1189.174107142857,290.35388127853884,355.84622182943,0.14081467493930402,0.2843919565911267,111.0,2333.1674805026496,1186.1540727647666,196.70020396796744,967.8462709284627,241.0679826522887
5,5,Mandurah - East,1476.4851485148513,340.35714285714283,454.3221539914974,0.102803738317757,0.2444870565675935,66.0,2333.1674805026496,1514.407179971658,154.0647397449816,1134.5238095238094,205.65169817651898
6,6,Mandurah - North,1882.899628252788,371.5460526315789,469.5901391824746,0.0952827974653837,0.12356402353600447,333.0,2333.1674805026496,1565.3004639415824,149.05556691828366,1238.4868421052631,188.38855619463627
7,7,Mandurah - South,1272.4654377880186,303.42261904761904,389.2316855270996,0.1223865374808771,0.17343599615014438,123.0,2333.1674805026496,1297.4389517569987,179.82869077138943,1011.40873015873,230.68492597809424
8,8,Pinjarra,1475.8064516129032,303.36021505376345,429.2054794520548,0.09387450199203187,0.09936984973339796,86.0,2333.1674805026496,1430.6849315068494,163.08045392253294,1011.2007168458783,230.732379994768
9,9,City Beach,3754.7770700636943,774.3243243243244,838.9804057568925,0.053467271548930655,0.09087332808811956,22.0,2333.1674805026496,2796.601352522975,83.42867596762638,2581.081081081081,90.39497044879374
10,10,Claremont (WA),2897.727272727273,464.07185628742513,636.5252255262277,0.06119757319968346,0.1314508276533593,264.0,2333.1674805026496,2121.7507517540926,109.9642584584346,1546.9061876247504,150.82798809442934
11,11,Cottesloe,3746.7105263157896,580.2197802197803,902.7397260273973,0.04665260938323669,0.17188389299943085,64.0,2333.1674805026496,3009.1324200913245,77.53621824432173,1934.0659340659345,120.63536404871651
12,12,Floreat,3640.374331550801,619.8412698412699,770.7191780821918,0.05130735076467687,0.07436260623229461,39.0,2333.1674805026496,2569.0639269406392,90.8178055063462,2066.1375661375664,112.92411109218969
13,13,Mosman Park - Peppermint Grove,3262.1951219512193,343.45238095238096,715.6517896597436,0.05805428967703586,0.1199743370402053,40.0,2333.1674805026496,2385.505965532479,97.80597970468094,1144.8412698412699,203.7983379849801
14,14,Nedlands - Dalkeith - Crawley,3561.349693251533,484.9673202614379,863.3213683979196,0.08912819337839388,0.11497476163768927,61.0,2333.1674805026496,2877.737894659733,81.07644149358941,1616.5577342047934,144.32936301222588
15,15,Swanbourne - Mount Claremont,3513.888888888889,533.7837837837837,782.3112990714351,0.0493915533285612,0.12308564946114578,43.0,2333.1674805026496,2607.704330238117,89.47208674879185,1779.279279279279,131.1299191573641
16,16,Mount Hawthorn - Leederville,2921.4559386973187,452.8,579.2979452054793,0.056486357108664426,0.10443037974683543,105.0,2333.1674805026496,1930.9931506849314,120.8273307274583,1509.3333333333335,154.5826510933734
17,17,Mount Lawley - Inglewood,2591.331269349845,366.66666666666674,505.13118179707436,0.059843518714315924,0.10426540284360188,41.0,2333.1674805026496,1683.7706059902482,138.56801349317308,1222.2222222222224,190.8955211320349
18,18,North Perth,2747.267759562841,430.1470588235293,578.2191780821918,0.056791104050833985,0.13346228239845262,110.0,2333.1674805026496,1927.3972602739727,121.05275485194984,1433.8235294117646,162.72347556326176
19,19,Perth City,2388.2428940568475,429.4761273209549,495.61879342151747,0.08085599831330381,0.16880819851219891,703.0,2333.1674805026496,1652.0626447383913,141.22754291028187,1431.5870910698495,162.97768365311492
20,20,Subiaco - Shenton Park,2849.693251533742,433.33333333333326,618.022415940224,0.05794263333717314,0.1336866902237927,230.0,2333.1674805026496,2060.074719800747,113.25644929657291,1444.4444444444446,161.5269794194142
21,21,Wembley - West Leederville - Glendalough,2468.3179723502303,323.6213235294117,496.2234756916465,0.06808080808080808,0.10156156872094407,155.0,2333.1674805026496,1654.0782523054886,141.05544748264674,1078.7377450980389,216.2868121658804
22,22,Bassendean - Eden Hill - Ashfield,1966.666666666667,351.6939252336448,448.10749498298577,0.07897748950782144,0.09686859818554287,147.0,2333.1674805026496,1493.6916499432862,156.20141416678857,1172.3130841121495,199.0225573801961
23,23,Bayswater - Embleton - Bedford,2201.349431818182,366.6182170542636,491.0836396035194,0.07071761117354311,0.1015372564378733,199.0,2333.1674805026496,1636.9454653450643,142.53177823555794,1222.060723514212,190.920748503666
24,24,Maylands,2134.393063583815,317.92253521126764,463.04949404557027,0.07658128593831677,0.17095986984815614,117.0,2333.1674805026496,1543.4983134852343,151.1609996666815,1059.7417840375588,220.16377155701161
25,25,Morley,1664.7897897897894,390.7766990291263,450.45105245573006,0.0874175726252005,0.09767141009055627,150.0,2333.1674805026496,1501.5035081857668,155.38874653191874,1302.5889967637545,179.1177022298928
