,SA2 Name,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Total,Median
117,North Coogee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,20.0,16.0,18.0,7.0,34.0,31.0,24.0,27.0,10.0,8.0,212.0,533.8235294117648
118,South Lake - Cockburn Central,10.0,12.0,50.0,23.0,27.0,14.0,29.0,11.0,44.0,25.0,83.0,53.0,130.0,115.0,186.0,68.0,168.0,21.0,5.0,3.0,0.0,3.0,1080.0,381.4130434782609
119,Spearwood,5.0,9.0,38.0,19.0,30.0,28.0,32.0,28.0,56.0,42.0,124.0,69.0,158.0,91.0,182.0,48.0,110.0,6.0,0.0,0.0,0.0,3.0,1078.0,359.4145569620253
120,Success - Hammond Park,5.0,5.0,11.0,4.0,14.0,10.0,10.0,10.0,17.0,21.0,34.0,41.0,136.0,108.0,204.0,108.0,423.0,57.0,5.0,3.0,3.0,6.0,1235.0,423.52941176470586
121,Yangebup,11.0,9.0,45.0,14.0,22.0,11.0,19.0,4.0,13.0,3.0,35.0,20.0,69.0,30.0,73.0,26.0,66.0,10.0,4.0,0.0,0.0,0.0,484.0,363.22463768115944
122,Beeliar - Wattleup,3.0,3.0,26.0,10.0,21.0,15.0,18.0,8.0,9.0,15.0,32.0,8.0,56.0,45.0,81.0,29.0,154.0,34.0,8.0,0.0,0.0,0.0,575.0,405.8641975308642
123,East Fremantle,6.0,10.0,26.0,3.0,9.0,11.0,11.0,7.0,24.0,20.0,45.0,26.0,34.0,23.0,48.0,14.0,113.0,52.0,46.0,26.0,9.0,17.0,580.0,418.4895833333333
124,Fremantle,53.0,68.0,225.0,65.0,73.0,37.0,59.0,26.0,84.0,65.0,133.0,66.0,114.0,71.0,116.0,46.0,349.0,251.0,115.0,67.0,29.0,51.0,2163.0,379.92957746478874
125,Fremantle - South,29.0,42.0,151.0,60.0,88.0,48.0,67.0,23.0,55.0,46.0,75.0,48.0,96.0,66.0,131.0,44.0,250.0,115.0,48.0,15.0,14.0,12.0,1523.0,357.8125
126,Bertram - Wellard (West),3.0,3.0,16.0,3.0,19.0,11.0,27.0,5.0,45.0,30.0,64.0,94.0,229.0,162.0,209.0,60.0,73.0,4.0,3.0,0.0,0.0,0.0,1060.0,372.98034934497815
127,Calista,14.0,8.0,36.0,42.0,47.0,30.0,40.0,30.0,73.0,72.0,178.0,71.0,105.0,42.0,25.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,829.0,303.2303370786517
128,Parmelia - Orelia,17.0,18.0,76.0,44.0,52.0,35.0,70.0,41.0,135.0,105.0,198.0,101.0,129.0,55.0,38.0,9.0,9.0,6.0,0.0,0.0,0.0,0.0,1138.0,294.4047619047619
129,Casuarina - Wandi,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,12.0,8.0,39.0,43.0,68.0,16.0,43.0,16.0,7.0,0.0,0.0,0.0,265.0,406.61764705882354
130,Applecross - Ardross,0.0,3.0,7.0,5.0,3.0,4.0,15.0,4.0,17.0,25.0,46.0,41.0,71.0,39.0,81.0,34.0,221.0,117.0,73.0,54.0,33.0,70.0,963.0,489.3665158371041
131,Bateman,3.0,5.0,8.0,7.0,6.0,5.0,3.0,0.0,4.0,4.0,12.0,6.0,20.0,8.0,30.0,11.0,88.0,38.0,12.0,0.0,3.0,0.0,273.0,455.6818181818182
132,Bicton - Palmyra,11.0,23.0,86.0,47.0,41.0,21.0,65.0,18.0,49.0,30.0,95.0,66.0,161.0,91.0,193.0,48.0,222.0,86.0,37.0,18.0,4.0,16.0,1428.0,375.4120879120879
133,Booragoon,10.0,9.0,53.0,24.0,38.0,21.0,23.0,16.0,36.0,14.0,66.0,48.0,99.0,81.0,117.0,48.0,252.0,133.0,68.0,46.0,19.0,40.0,1261.0,419.87179487179486
134,Bull Creek,0.0,8.0,24.0,12.0,12.0,5.0,4.0,3.0,3.0,3.0,17.0,8.0,32.0,32.0,65.0,34.0,163.0,39.0,8.0,3.0,0.0,0.0,475.0,432.3529411764706
135,Leeming,0.0,0.0,9.0,3.0,11.0,0.0,9.0,0.0,5.0,7.0,10.0,9.0,21.0,26.0,56.0,23.0,175.0,72.0,15.0,3.0,0.0,0.0,454.0,472.0
136,Melville,6.0,4.0,18.0,13.0,18.0,13.0,26.0,14.0,44.0,17.0,68.0,38.0,92.0,66.0,134.0,48.0,221.0,108.0,56.0,31.0,14.0,31.0,1080.0,419.30970149253733
137,Murdoch - Kardinya,3.0,6.0,19.0,12.0,23.0,9.0,11.0,9.0,13.0,7.0,48.0,33.0,66.0,55.0,97.0,56.0,217.0,90.0,20.0,8.0,3.0,4.0,809.0,423.45360824742266
138,Willagee,22.0,19.0,129.0,34.0,50.0,17.0,26.0,9.0,8.0,20.0,36.0,24.0,47.0,31.0,57.0,14.0,66.0,20.0,0.0,0.0,3.0,0.0,632.0,278.125
139,Winthrop,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,41.0,52.0,24.0,8.0,3.0,4.0,157.0,575.0
140,Baldivis,3.0,3.0,9.0,8.0,33.0,8.0,45.0,34.0,74.0,27.0,151.0,142.0,428.0,324.0,521.0,158.0,302.0,30.0,13.0,11.0,0.0,10.0,2334.0,390.625
141,Cooloongup,3.0,3.0,26.0,19.0,39.0,21.0,43.0,15.0,52.0,63.0,167.0,86.0,132.0,46.0,42.0,3.0,9.0,0.0,0.0,0.0,0.0,4.0,773.0,315.4191616766467
142,Port Kennedy,0.0,5.0,18.0,9.0,18.0,12.0,21.0,27.0,32.0,25.0,65.0,69.0,197.0,141.0,182.0,46.0,91.0,10.0,0.0,0.0,0.0,0.0,968.0,373.28680203045684
143,Rockingham,16.0,22.0,88.0,44.0,99.0,47.0,91.0,95.0,311.0,199.0,287.0,129.0,217.0,139.0,173.0,55.0,90.0,22.0,6.0,4.0,0.0,11.0,2145.0,305.3135888501742
144,Safety Bay - Shoalwater,11.0,10.0,48.0,16.0,21.0,13.0,66.0,68.0,138.0,93.0,179.0,87.0,149.0,82.0,91.0,32.0,50.0,9.0,3.0,0.0,0.0,3.0,1169.0,314.10614525139664
145,Singleton - Golden Bay - Secret Harbour,5.0,0.0,4.0,7.0,9.0,4.0,12.0,19.0,53.0,22.0,102.0,79.0,215.0,164.0,231.0,70.0,212.0,47.0,10.0,5.0,3.0,0.0,1273.0,391.1585365853659
146,Waikiki,12.0,10.0,32.0,15.0,37.0,14.0,25.0,31.0,55.0,36.0,137.0,98.0,172.0,127.0,105.0,41.0,54.0,3.0,0.0,0.0,0.0,3.0,1007.0,350.2906976744186
147,Warnbro,0.0,11.0,48.0,22.0,35.0,17.0,31.0,15.0,35.0,56.0,154.0,103.0,203.0,88.0,77.0,22.0,36.0,6.0,0.0,0.0,0.0,6.0,965.0,339.3203883495146
