,SA2 Name,1-149(75),150-299(225),300-399(350),400-499(450),500-649(575),650-799(725),800-999(900),"1,000-1,249(1,125)","1,250-1,499(1,375)","1,500-1,749(1,625)","1,750-1,999(1875)","2,000-2,499(2,250)","2,500-2,999(2,750)","3,000-3,499(3,250)","3,500-3,999(3,750)","4,000-4,499(4,250)","4,500-4,999(4,750)","5,000-5,999 (5,500)","6,000-7,999(7000)","8,000 or more(8000)",Total
86,Tapping - Ashby - Sinagra,13.0,14.0,9.0,57.0,45.0,158.0,118.0,192.0,199.0,211.0,227.0,533.0,370.0,256.0,198.0,93.0,87.0,62.0,31.0,0.0,2873.0
87,Wanneroo,28.0,46.0,36.0,151.0,138.0,355.0,342.0,397.0,507.0,439.0,439.0,1055.0,698.0,420.0,273.0,158.0,133.0,77.0,72.0,7.0,5771.0
88,Alkimos - Eglinton,4.0,11.0,15.0,38.0,56.0,74.0,70.0,101.0,134.0,142.0,162.0,415.0,284.0,146.0,72.0,43.0,38.0,14.0,10.0,0.0,1829.0
89,Carabooda - Pinjar,3.0,0.0,0.0,0.0,3.0,5.0,9.0,7.0,6.0,6.0,10.0,11.0,11.0,11.0,13.0,6.0,4.0,7.0,3.0,0.0,115.0
90,Two Rocks,7.0,7.0,3.0,21.0,27.0,70.0,46.0,48.0,57.0,43.0,44.0,77.0,62.0,23.0,21.0,15.0,15.0,7.0,6.0,0.0,599.0
91,Yanchep,10.0,18.0,25.0,53.0,76.0,149.0,115.0,179.0,149.0,131.0,148.0,281.0,185.0,116.0,87.0,33.0,39.0,26.0,12.0,0.0,1832.0
92,Armadale - Wungong - Brookdale,32.0,61.0,62.0,182.0,215.0,452.0,348.0,454.0,408.0,377.0,301.0,457.0,256.0,101.0,54.0,33.0,30.0,24.0,9.0,0.0,3856.0
94,Camillo - Champion Lakes,8.0,17.0,10.0,51.0,51.0,98.0,97.0,119.0,135.0,107.0,83.0,164.0,84.0,41.0,32.0,16.0,9.0,12.0,0.0,0.0,1134.0
95,Forrestdale - Harrisdale - Piara Waters,15.0,19.0,14.0,38.0,64.0,131.0,148.0,268.0,290.0,323.0,336.0,922.0,673.0,426.0,306.0,164.0,104.0,106.0,46.0,0.0,4393.0
96,Kelmscott,14.0,24.0,33.0,79.0,100.0,196.0,163.0,220.0,260.0,191.0,160.0,295.0,173.0,107.0,74.0,50.0,41.0,17.0,12.0,3.0,2212.0
97,Mount Nasura - Mount Richon - Bedfordale,13.0,15.0,13.0,51.0,50.0,141.0,91.0,169.0,133.0,115.0,126.0,270.0,180.0,141.0,106.0,67.0,59.0,42.0,40.0,7.0,1829.0
98,Roleystone,12.0,6.0,7.0,25.0,36.0,96.0,98.0,134.0,116.0,93.0,117.0,260.0,182.0,130.0,122.0,58.0,47.0,46.0,44.0,5.0,1634.0
99,Seville Grove,13.0,19.0,17.0,41.0,70.0,147.0,142.0,214.0,251.0,213.0,191.0,390.0,219.0,103.0,46.0,20.0,22.0,11.0,4.0,0.0,2133.0
100,Belmont - Ascot - Redcliffe,17.0,35.0,20.0,79.0,76.0,191.0,150.0,250.0,204.0,180.0,183.0,414.0,293.0,200.0,159.0,71.0,75.0,52.0,44.0,5.0,2698.0
101,East Victoria Park - Carlisle,20.0,27.0,32.0,95.0,72.0,188.0,188.0,223.0,232.0,222.0,220.0,430.0,354.0,254.0,260.0,114.0,115.0,102.0,63.0,4.0,3215.0
104,Rivervale - Kewdale - Cloverdale,32.0,62.0,52.0,157.0,148.0,391.0,332.0,419.0,390.0,339.0,358.0,683.0,439.0,323.0,194.0,97.0,97.0,84.0,42.0,0.0,4639.0
105,Victoria Park - Lathlain - Burswood,12.0,16.0,21.0,74.0,78.0,150.0,158.0,211.0,212.0,158.0,187.0,451.0,290.0,229.0,197.0,110.0,117.0,115.0,88.0,14.0,2888.0
106,Bentley - Wilson - St James,23.0,39.0,41.0,95.0,104.0,267.0,203.0,269.0,211.0,209.0,178.0,388.0,265.0,199.0,166.0,73.0,71.0,52.0,27.0,0.0,2880.0
107,Canning Vale - West,14.0,15.0,14.0,44.0,40.0,89.0,107.0,150.0,131.0,115.0,128.0,335.0,254.0,205.0,168.0,103.0,92.0,85.0,54.0,8.0,2151.0
109,Cannington - Queens Park,18.0,31.0,33.0,110.0,113.0,231.0,231.0,346.0,335.0,285.0,259.0,485.0,308.0,173.0,83.0,45.0,40.0,27.0,17.0,3.0,3173.0
110,Parkwood - Ferndale - Lynwood,14.0,27.0,28.0,87.0,109.0,255.0,217.0,281.0,279.0,219.0,235.0,458.0,322.0,181.0,111.0,73.0,56.0,37.0,12.0,0.0,3001.0
111,Riverton - Shelley - Rossmoyne,16.0,28.0,21.0,62.0,60.0,193.0,173.0,235.0,227.0,188.0,178.0,392.0,257.0,193.0,181.0,153.0,158.0,117.0,99.0,24.0,2955.0
113,Willetton,25.0,36.0,20.0,85.0,104.0,222.0,220.0,327.0,296.0,311.0,278.0,566.0,426.0,307.0,287.0,164.0,143.0,131.0,65.0,9.0,4022.0
114,Beckenham - Kenwick - Langford,17.0,45.0,48.0,139.0,149.0,346.0,324.0,421.0,387.0,305.0,294.0,531.0,292.0,160.0,91.0,46.0,29.0,23.0,16.0,3.0,3666.0
