,SA2 Name,1-149(75),150-299(225),300-399(350),400-499(450),500-649(575),650-799(725),800-999(900),"1,000-1,249(1,125)","1,250-1,499(1,375)","1,500-1,749(1,625)","1,750-1,999(1875)","2,000-2,499(2,250)","2,500-2,999(2,750)","3,000-3,499(3,250)","3,500-3,999(3,750)","4,000-4,499(4,250)","4,500-4,999(4,750)","5,000-5,999 (5,500)","6,000-7,999(7000)","8,000 or more(8000)",Total
152,Parmelia - Orelia,15.0,30.0,33.0,108.0,123.0,244.0,219.0,236.0,200.0,194.0,173.0,323.0,165.0,82.0,33.0,18.0,8.0,8.0,0.0,0.0,2212.0
153,Casuarina - Wandi,9.0,8.0,6.0,22.0,15.0,36.0,42.0,80.0,93.0,84.0,104.0,217.0,170.0,97.0,78.0,41.0,35.0,27.0,28.0,0.0,1192.0
154,Applecross - Ardross,6.0,26.0,8.0,39.0,34.0,91.0,96.0,158.0,150.0,127.0,146.0,278.0,189.0,170.0,220.0,171.0,186.0,187.0,194.0,34.0,2510.0
155,Bateman,3.0,9.0,5.0,13.0,12.0,41.0,38.0,75.0,49.0,47.0,40.0,105.0,111.0,55.0,81.0,42.0,41.0,44.0,26.0,0.0,837.0
156,Bicton - Palmyra,19.0,15.0,17.0,65.0,58.0,184.0,139.0,205.0,193.0,173.0,203.0,427.0,343.0,251.0,212.0,161.0,142.0,135.0,91.0,5.0,3038.0
157,Booragoon,22.0,29.0,18.0,57.0,79.0,144.0,150.0,237.0,217.0,152.0,175.0,357.0,275.0,236.0,285.0,205.0,211.0,205.0,191.0,35.0,3280.0
158,Bull Creek,16.0,15.0,16.0,49.0,47.0,101.0,83.0,149.0,127.0,101.0,93.0,220.0,174.0,120.0,112.0,96.0,86.0,63.0,44.0,3.0,1715.0
159,Leeming,16.0,19.0,11.0,38.0,54.0,138.0,137.0,169.0,150.0,117.0,141.0,358.0,327.0,226.0,213.0,141.0,145.0,112.0,70.0,9.0,2591.0
160,Melville,22.0,22.0,25.0,83.0,60.0,175.0,175.0,239.0,193.0,176.0,180.0,452.0,378.0,300.0,277.0,224.0,247.0,199.0,172.0,22.0,3621.0
161,Murdoch - Kardinya,21.0,27.0,10.0,80.0,66.0,184.0,163.0,240.0,170.0,146.0,150.0,304.0,279.0,182.0,155.0,105.0,92.0,100.0,51.0,7.0,2532.0
162,Willagee,7.0,15.0,19.0,47.0,28.0,76.0,58.0,81.0,57.0,72.0,70.0,135.0,104.0,80.0,60.0,28.0,35.0,23.0,13.0,0.0,1008.0
163,Winthrop,7.0,21.0,4.0,21.0,41.0,67.0,48.0,68.0,95.0,69.0,71.0,169.0,120.0,108.0,113.0,81.0,90.0,72.0,53.0,10.0,1328.0
164,Baldivis,35.0,32.0,41.0,125.0,150.0,389.0,303.0,445.0,512.0,532.0,542.0,1353.0,910.0,516.0,389.0,198.0,172.0,135.0,61.0,3.0,6843.0
165,Cooloongup,15.0,27.0,25.0,97.0,78.0,223.0,153.0,200.0,177.0,159.0,143.0,222.0,126.0,56.0,43.0,17.0,22.0,6.0,6.0,0.0,1795.0
166,Port Kennedy,9.0,32.0,23.0,55.0,106.0,171.0,169.0,221.0,226.0,210.0,204.0,473.0,305.0,188.0,154.0,82.0,64.0,45.0,20.0,0.0,2757.0
167,Rockingham,25.0,48.0,34.0,158.0,111.0,383.0,250.0,304.0,240.0,215.0,200.0,403.0,221.0,150.0,119.0,51.0,64.0,37.0,31.0,3.0,3047.0
169,Safety Bay - Shoalwater,15.0,30.0,17.0,104.0,120.0,265.0,180.0,235.0,197.0,161.0,168.0,343.0,230.0,156.0,101.0,66.0,76.0,46.0,28.0,5.0,2543.0
170,Singleton - Golden Bay - Secret Harbour,18.0,28.0,27.0,89.0,109.0,179.0,180.0,263.0,265.0,270.0,317.0,675.0,502.0,358.0,276.0,189.0,161.0,115.0,54.0,7.0,4082.0
171,Waikiki,13.0,24.0,27.0,85.0,105.0,225.0,189.0,220.0,200.0,205.0,218.0,387.0,272.0,147.0,125.0,80.0,49.0,39.0,21.0,0.0,2631.0
172,Warnbro,11.0,31.0,26.0,67.0,73.0,229.0,190.0,199.0,229.0,168.0,171.0,333.0,198.0,128.0,89.0,46.0,30.0,29.0,17.0,0.0,2264.0
