,SA2 Name,1-149,150-299,300-449,450-599,600-799,800-999,"1,000-1,199","1,200-1,399","1,400-1,599","1,600-1,799","1,800-1,999","2,000-2,199","2,200-2,399","2,400-2,599","2,600-2,999","3,000-3,999","4,000-4,999","5,000 and over",Total,Median
31,Swan View - Greenmount - Midvale,11.0,21.0,48.0,42.0,84.0,99.0,121.0,135.0,129.0,199.0,158.0,205.0,109.0,61.0,138.0,126.0,42.0,21.0,1749.0,1785.929648241206
32,Ballajura,30.0,28.0,66.0,74.0,110.0,158.0,216.0,237.0,238.0,263.0,235.0,397.0,188.0,127.0,239.0,217.0,69.0,26.0,2918.0,1833.6170212765958
33,Beechboro,23.0,30.0,50.0,38.0,87.0,123.0,152.0,189.0,174.0,269.0,241.0,422.0,251.0,151.0,290.0,203.0,59.0,37.0,2789.0,2009.004739336493
34,Bullsbrook,11.0,5.0,10.0,17.0,23.0,25.0,49.0,68.0,63.0,80.0,68.0,116.0,56.0,47.0,87.0,91.0,35.0,14.0,865.0,2024.1379310344828
35,Ellenbrook,21.0,34.0,57.0,63.0,101.0,141.0,205.0,342.0,441.0,650.0,739.0,1262.0,744.0,546.0,967.0,603.0,150.0,101.0,7167.0,2125.198098256735
36,Gidgegannup,0.0,3.0,7.0,5.0,7.0,16.0,17.0,32.0,33.0,31.0,26.0,44.0,17.0,18.0,33.0,80.0,37.0,16.0,422.0,2156.818181818182
37,Hazelmere - Guildford,4.0,3.0,7.0,3.0,25.0,31.0,39.0,53.0,55.0,58.0,67.0,99.0,49.0,38.0,77.0,94.0,23.0,12.0,737.0,2048.4848484848485
38,Lockridge - Kiara,9.0,15.0,38.0,27.0,54.0,102.0,117.0,127.0,110.0,173.0,143.0,226.0,144.0,113.0,244.0,137.0,40.0,22.0,1841.0,2005.3097345132744
39,Middle Swan - Herne Hill,3.0,8.0,15.0,23.0,16.0,41.0,38.0,61.0,60.0,87.0,61.0,89.0,27.0,28.0,45.0,50.0,18.0,13.0,683.0,1777.0114942528735
40,Midland - Guildford,8.0,10.0,34.0,18.0,46.0,58.0,67.0,122.0,104.0,126.0,101.0,138.0,51.0,28.0,71.0,92.0,30.0,31.0,1135.0,1760.3174603174602
41,Stratton - Jane Brook,4.0,9.0,25.0,26.0,58.0,59.0,76.0,117.0,94.0,149.0,112.0,171.0,70.0,63.0,115.0,79.0,28.0,16.0,1271.0,1833.9285714285713
42,The Vines,11.0,11.0,22.0,9.0,40.0,41.0,71.0,85.0,94.0,118.0,119.0,222.0,155.0,163.0,267.0,310.0,99.0,59.0,1896.0,2336.1290322580644
43,Craigie - Beldon,21.0,23.0,40.0,36.0,60.0,78.0,103.0,114.0,137.0,163.0,112.0,259.0,133.0,85.0,180.0,121.0,29.0,17.0,1711.0,1944.642857142857
44,Currambine - Kinross,28.0,10.0,49.0,46.0,68.0,99.0,123.0,162.0,149.0,206.0,156.0,288.0,138.0,151.0,276.0,288.0,64.0,26.0,2327.0,2047.2222222222222
