,SA2 Name,1-149,150-299,300-449,450-599,600-799,800-999,"1,000-1,199","1,200-1,399","1,400-1,599","1,600-1,799","1,800-1,999","2,000-2,199","2,200-2,399","2,400-2,599","2,600-2,999","3,000-3,999","4,000-4,999","5,000 and over",Total,Median
135,Bicton - Palmyra,18.0,26.0,39.0,25.0,48.0,63.0,104.0,94.0,121.0,103.0,124.0,215.0,87.0,95.0,183.0,327.0,143.0,94.0,1909.0,2176.7441860465115
136,Booragoon,17.0,19.0,43.0,30.0,44.0,50.0,56.0,73.0,69.0,63.0,51.0,162.0,52.0,66.0,110.0,277.0,181.0,182.0,1545.0,2533.3333333333335
137,Bull Creek,8.0,17.0,27.0,25.0,21.0,23.0,45.0,41.0,42.0,55.0,31.0,70.0,39.0,33.0,78.0,121.0,55.0,23.0,754.0,2121.4285714285716
138,Leeming,22.0,13.0,35.0,23.0,52.0,59.0,101.0,78.0,89.0,76.0,60.0,148.0,64.0,72.0,117.0,271.0,85.0,30.0,1395.0,2121.6216216216217
139,Melville,23.0,19.0,30.0,27.0,53.0,79.0,109.0,87.0,94.0,92.0,79.0,223.0,86.0,95.0,178.0,411.0,206.0,164.0,2055.0,2456.842105263158
140,Murdoch - Kardinya,18.0,19.0,28.0,26.0,46.0,58.0,73.0,75.0,56.0,72.0,57.0,143.0,46.0,58.0,107.0,174.0,65.0,27.0,1148.0,2065.034965034965
141,Willagee,0.0,8.0,11.0,13.0,12.0,22.0,39.0,42.0,48.0,50.0,38.0,81.0,49.0,39.0,76.0,105.0,30.0,3.0,666.0,2124.6913580246915
142,Winthrop,7.0,3.0,21.0,18.0,9.0,30.0,30.0,36.0,24.0,25.0,18.0,59.0,21.0,25.0,45.0,102.0,51.0,44.0,568.0,2242.8571428571427
143,Baldivis,23.0,19.0,50.0,35.0,75.0,104.0,168.0,257.0,311.0,567.0,641.0,1114.0,688.0,455.0,713.0,516.0,160.0,81.0,5977.0,2132.6750448833036
144,Cooloongup,8.0,24.0,34.0,46.0,80.0,86.0,98.0,147.0,157.0,183.0,122.0,128.0,40.0,14.0,38.0,33.0,3.0,3.0,1244.0,1526.751592356688
145,Port Kennedy,24.0,12.0,37.0,33.0,60.0,81.0,111.0,182.0,192.0,266.0,218.0,343.0,141.0,92.0,182.0,153.0,35.0,21.0,2183.0,1886.2385321100917
146,Rockingham,12.0,25.0,48.0,46.0,85.0,79.0,104.0,143.0,149.0,152.0,138.0,189.0,81.0,40.0,102.0,105.0,33.0,25.0,1556.0,1715.1315789473683
147,Safety Bay - Shoalwater,16.0,22.0,38.0,27.0,53.0,75.0,80.0,105.0,116.0,148.0,117.0,191.0,89.0,49.0,112.0,119.0,43.0,18.0,1418.0,1850.4273504273503
148,Singleton - Golden Bay - Secret Harbour,25.0,27.0,34.0,35.0,62.0,71.0,138.0,174.0,205.0,268.0,300.0,531.0,255.0,232.0,421.0,466.0,110.0,48.0,3402.0,2136.5348399246705
149,Waikiki,11.0,28.0,37.0,42.0,75.0,83.0,122.0,166.0,188.0,207.0,176.0,288.0,109.0,69.0,152.0,122.0,16.0,17.0,1908.0,1795.6521739130435
150,Warnbro,11.0,11.0,37.0,32.0,56.0,75.0,98.0,172.0,186.0,228.0,164.0,228.0,79.0,36.0,87.0,75.0,22.0,15.0,1612.0,1712.719298245614
