,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
35,Ballajura,18937.0,18745.0,11790.0,11122.0,-192.0,-668.0,7147.0,7623.0,476.0,0.37740930453609334,0.40666844491864496,0.06660137120470133
36,Beechboro,15099.0,18097.0,8547.0,9560.0,2998.0,1013.0,6552.0,8537.0,1985.0,0.4339360222531293,0.471735646792286,0.302960927960928
37,Bullsbrook,4283.0,5185.0,2989.0,3447.0,902.0,458.0,1294.0,1738.0,444.0,0.30212467896334344,0.3351976856316297,0.3431221020092736
38,Ellenbrook,22946.0,36114.0,15167.0,21798.0,13168.0,6631.0,7779.0,14316.0,6537.0,0.339013335657631,0.3964113640139558,0.8403393752410335
39,Gidgegannup,2460.0,2743.0,1784.0,1947.0,283.0,163.0,676.0,796.0,120.0,0.27479674796747966,0.2901932191031717,0.1775147928994083
40,Hazelmere - Guildford,3604.0,4184.0,2403.0,2738.0,580.0,335.0,1201.0,1446.0,245.0,0.3332408435072142,0.3456022944550669,0.20399666944213157
41,Lockridge - Kiara,8032.0,10577.0,5167.0,6024.0,2545.0,857.0,2865.0,4553.0,1688.0,0.35669820717131473,0.43046232391037154,0.5891797556719023
44,Middle Swan - Herne Hill,5249.0,5414.0,3385.0,3505.0,165.0,120.0,1864.0,1909.0,45.0,0.35511526004953325,0.35260435906908016,0.024141630901287625
45,Midland - Guildford,9553.0,10674.0,5722.0,5973.0,1121.0,251.0,3831.0,4701.0,870.0,0.40102585575211974,0.440415964024733,0.2270947533281127
46,Stratton - Jane Brook,6563.0,6886.0,4903.0,5010.0,323.0,107.0,1660.0,1876.0,216.0,0.25293310985829653,0.2724368283473715,0.13012048192771086
47,The Vines,5507.0,9904.0,3512.0,6012.0,4397.0,2500.0,1995.0,3892.0,1897.0,0.3622662066460868,0.3929725363489499,0.9508771929824562
49,Craigie - Beldon,9422.0,9801.0,5870.0,6096.0,379.0,226.0,3552.0,3705.0,153.0,0.3769900233496073,0.3780226507499235,0.04307432432432434
50,Currambine - Kinross,13753.0,13798.0,6814.0,6559.0,45.0,-255.0,6939.0,7239.0,300.0,0.5045444630262488,0.5246412523554138,0.04323389537397326
51,Duncraig,14852.0,15268.0,9567.0,9709.0,416.0,142.0,5285.0,5559.0,274.0,0.35584433072986804,0.36409483887870053,0.05184484389782407
52,Greenwood - Warwick,13208.0,13347.0,8828.0,8830.0,139.0,2.0,4380.0,4517.0,137.0,0.33161720169594183,0.33842811118603433,0.03127853881278542
53,Heathridge - Connolly,10327.0,10306.0,5883.0,5675.0,-21.0,-208.0,4444.0,4631.0,187.0,0.4303282657112424,0.4493498932660586,0.04207920792079212
54,Hillarys,10562.0,10808.0,6337.0,6574.0,246.0,237.0,4225.0,4234.0,9.0,0.4000189358076122,0.3917468541820873,0.0021301775147928304
